,Division,Team,Name,PointsPerGame
6,Atlantic,BOS,Ray Allen,16.3
7,Atlantic,BOS,Tony Allen,6.111111111
102,Atlantic,BOS,Marquis Daniels,5.647058824
104,Atlantic,BOS,Glen Davis,6.296296296
135,Atlantic,BOS,Michael Finley,4.391304348
146,Atlantic,BOS,Kevin Garnett,14.34782609
248,Atlantic,BOS,Oliver Lafayette,7
250,Atlantic,BOS,Marcus Landry,2.444444444
327,Atlantic,BOS,Kendrick Perkins,10.14102564
330,Atlantic,BOS,Paul Pierce,18.25352113
351,Atlantic,BOS,Nate Robinson,10.125
353,Atlantic,BOS,Rajon Rondo,13.7037037
360,Atlantic,BOS,Brian Scalabrine,1.5
33,Atlantic,NJN,Tony Battie,2.4
52,Atlantic,NJN,Josh Boone,4.015873016
115,Atlantic,NJN,Keyon Dooling,6.867924528
118,Atlantic,NJN,Douglas-roberts,9.805970149
178,Atlantic,NJN,Devin Harris,16.875
182,Atlantic,NJN,Trenton Hassell,4.461538462
185,Atlantic,NJN,Jarvis Hayes,7.777777778
205,Atlantic,NJN,Kris Humphries,7.057971014
230,Atlantic,NJN,Yi Jianlian,11.98076923
253,Atlantic,NJN,Courtney Lee,12.46478873
257,Atlantic,NJN,Brook Lopez,18.80487805
339,Atlantic,NJN,Chris Quinn,2.24
364,Atlantic,NJN,Bobby Simmons,5.304347826
31,Atlantic,NYK,Earl Barron,11.71428571
42,Atlantic,NYK,Jonathan Bender,4.72
85,Atlantic,NYK,Wilson Chandler,15.27692308
98,Atlantic,NYK,Eddy Curry,3.714285714
117,Atlantic,NYK,Toney Douglas,8.589285714
121,Atlantic,NYK,Chris Duhon,7.373134328
144,Atlantic,NYK,Danilo Gallinari,15.07407407
154,Atlantic,NYK,J.r. Giddens,2.15625
177,Atlantic,NYK,Al Harrington,17.72222222
199,Atlantic,NYK,Eddie House,6.955882353
254,Atlantic,NYK,David Lee,20.24691358
280,Atlantic,NYK,Tracy Mcgrady,8.166666667
352,Atlantic,NYK,Sergio Rodriguez,6.575757576
57,Atlantic,PHI,Elton Brand,13.10526316
77,Atlantic,PHI,Rodney Carney,4.691176471
100,Atlantic,PHI,Samuel Dalembert,8.134146341
127,Atlantic,PHI,Francisco Elson,1
168,Atlantic,PHI,Willie Green,8.739726027
196,Atlantic,PHI,Jrue Holiday,8.04109589
211,Atlantic,PHI,Andre Iguodala,17.08536585
214,Atlantic,PHI,Allen Iverson,13.75
241,Atlantic,PHI,Jason Kapono,5.684210526
283,Atlantic,PHI,Jodie Meeks,4.683333333
369,Atlantic,PHI,Jason Smith,3.375
373,Atlantic,PHI,Marrees Speights,8.580645161
428,Atlantic,PHI,Lou Williams,14.03125
26,Atlantic,TOR,Marcus Banks,4.954545455
29,Atlantic,TOR,Andrea Bargnani,17.2
39,Atlantic,TOR,Marco Belinelli,7.106060606
54,Atlantic,TOR,Chris Bosh,23.97142857
74,Atlantic,TOR,Jose Calderon,10.27941176
110,Atlantic,TOR,Demar Derozan,8.597402597
129,Atlantic,TOR,Reggie Evans,3.392857143
216,Atlantic,TOR,Jarrett Jack,11.35365854
231,Atlantic,TOR,Amir Johnson,6.231707317
284,Atlantic,TOR,Pop Mensah-bonsu,1.95
304,Atlantic,TOR,Rasho Nesterovic,3.880952381
309,Atlantic,TOR,Patrick O'bryant,1.727272727
398,Atlantic,TOR,Hedo Turkoglu,11.28378378
4,Central,CHI,Joe Alexander,0.5
65,Central,CHI,Devin Brown,7.98
109,Central,CHI,Luol Deng,17.57142857
153,Central,CHI,Taj Gibson,8.963414634
195,Central,CHI,Kirk Hinrich,10.87837838
207,Central,CHI,Lindsey Hunter,1
233,Central,CHI,James Johnson,3.938461538
251,Central,CHI,Acie Law,4.346153846
288,Central,CHI,Brad Miller,8.768292683
300,Central,CHI,Ronald Murray,9.933333333
305,Central,CHI,Joakim Noah,10.734375
320,Central,CHI,Jannero Pargo,5.46031746
347,Central,CHI,Chris Richard,2.055555556
152,Central,CLE,Daniel Gibson,6.339285714
166,Central,CLE,Daniel Green,2
190,Central,CLE,J.j. Hickson,8.50617284
212,Central,CLE,Zydrun Ilgauskas,7.40625
220,Central,CLE,Lebron James,29.71052632
222,Central,CLE,Antawn Jamison,18.71212121
293,Central,CLE,Jamario Moon,4.852459016
311,Central,CLE,Shaquille O'neal,12
321,Central,CLE,Anthony Parker,7.345679012
333,Central,CLE,Leon Powe,3.95
382,Central,CLE,Sebastia Telfair,4.837209302
402,Central,CLE,Anderson Varejao,8.565789474
418,Central,CLE,Delonte West,8.8
22,Central,DET,Chucky Atkins,4.025
66,Central,DET,Kwame Brown,3.270833333
