1,2015,Big Ten,5,7,0,.417,1.18,3.26,,,,Bill Cubit,(5-7)
2,2014,Big Ten,6,7,0,.462,-2.53,3.00,,,,Tim Beckman,(6-7),Heart of Dallas Bowl,L
3,2013,Big Ten,4,8,0,.333,-3.86,1.98,,,,Tim Beckman,(4-8)
4,2012,Big Ten,2,10,0,.167,-10.35,2.56,,,,Tim Beckman,(2-10)
5,2011,Big Ten,7,6,0,.538,2.63,1.17,,16,,Ron Zook (6-6) Vic Koenning (1-0),,Fight Hunger Bowl,W
6,2010,Big Ten,7,6,0,.538,7.77,1.47,,,,Ron Zook,(7-6),Texas Bowl,W
7,2009,Big Ten,3,9,0,.250,-3.67,2.24,,,,Ron Zook,(3-9)
8,2008,Big Ten,5,7,0,.417,2.96,2.04,20,20,,Ron Zook,(5-7)
9,2007,Big Ten,9,4,0,.692,8.07,1.76,,13,20,Ron Zook,(9-4),Rose Bowl,L
10,2006,Big Ten,2,10,0,.167,-5.87,1.13,,,,Ron Zook,(2-10)
11,2005,Big Ten,2,9,0,.182,-7.54,7.37,,,,Ron Zook,(2-9)
12,2004,Big Ten,3,8,0,.273,-4.53,1.83,,,,Ron Turner,(3-8)
13,2003,Big Ten,1,11,0,.083,-8.63,4.62,,,,Ron Turner,(1-11)
14,2002,Big Ten,5,7,0,.417,2.56,2.89,,,,Ron Turner,(5-7)
15,2001,Big Ten,10,2,0,.833,12.71,3.79,,7,12,Ron Turner,(10-2),Sugar Bowl,L
16,2000,Big Ten,5,6,0,.455,2.59,2.31,21,19,,Ron Turner,(5-6)
17,1999,Big Ten,8,4,0,.667,11.40,4.73,,24,24,Ron Turner,(8-4),Micron PC Bowl,W
18,1998,Big Ten,3,8,0,.273,-7.93,3.70,,,,Ron Turner,(3-8)
19,1997,Big Ten,0,11,0,.000,-12.97,5.40,,,,Ron Turner,(0-11)
20,1996,Big Ten,2,9,0,.,-4.52,6.49,,,,Lou Tepper,(2-9)
21,1995,Big Ten,5,5,1,.500,8.85,9.31,,25,,Lou Tepper,(5-5-1)
22,1994,Big Ten,7,5,0,.583,15.41,6.83,21,21,,Lou Tepper,(7-5),Liberty Bowl,W
23,1993,Big Ten,5,6,0,.455,5.44,7.35,,,,Lou Tepper,(5-6)
24,1992,Big Ten,6,5,1,.542,1.88,1.97,,,,Lou Tepper,(6-5-1),Holiday Bowl,L
25,1991,Big Ten,6,6,0,.500,6.77,3.10,,13,,John Mackovic (6-5) Lou Tepper (0-1),,Sun Bowl,L
26,1990,Big Ten,8,4,0,.667,9.13,5.38,11,5,25,John Mackovic,(8-4),Hall of Fame Bowl,L
27,1989,Big Ten,10,2,0,.833,14.62,4.12,22,8,10,John Mackovic,(10-2),Citrus Bowl,W
28,1988,Big Ten,6,5,1,.542,3.83,2.25,,,,John Mackovic,(6-5-1),All-American Bowl,L
29,1987,Big Ten,3,7,1,.318,-2.07,3.20,,,,Mike White,(3-7-1)
30,1986,Big Ten,4,7,0,.364,0.37,5.37,,,,Mike White,(4-7)
31,1985,Big Ten,6,5,1,.542,7.50,6.75,11,11,,Mike White,(6-5-1),Peach Bowl,L
32,1984,Big Ten,7,4,0,.636,9.46,2.19,,,,Mike White,(7-4)
33,1983,Big Ten,10,2,0,.833,13.69,3.27,,4,10,Mike White,(10-2),Rose Bowl,L
34,1982,Big Ten,7,5,0,.583,10.90,5.40,,15,,Mike White,(7-5),Liberty Bowl,L
35,1981,Big Ten,7,4,0,.636,7.75,5.93,,,,Mike White,(7-4)
36,1980,Big Ten,3,7,1,.418,0.60,6.23,,,,Mike White,(3-7-1)
